gender,age,bmi,activity_level,avg_sleep_hours,avg_water_intake_liters,height_cm,weight_kg,recommended_exercise
male,52,21.08,moderate,6.7,4.1,175.6,65.0,Balanced Strength + Cardio
female,45,20.73,active,6.9,3.3,157.3,51.3,Balanced Strength + Cardio
female,38,21.62,moderate,7.7,2.7,161.5,56.4,Balanced Strength + Cardio
male,35,26.42,moderate,7.0,2.9,175.3,81.2,Balanced Strength + Cardio
female,39,22.55,moderate,9.3,2.8,169.4,64.7,Balanced Strength + Cardio
female,29,23.15,moderate,6.7,3.3,147.4,50.3,Balanced Strength + Cardio
male,37,20.26,moderate,6.3,4.0,181.3,66.6,Balanced Strength + Cardio
female,52,22.15,moderate,6.2,2.2,155.4,53.5,Balanced Strength + Cardio
male,22,24.44,moderate,8.4,3.0,176.0,75.7,Balanced Strength + Cardio
female,18,25.87,active,8.3,4.3,157.4,64.1,Balanced Strength + Cardio
male,38,23.74,active,6.3,4.2,183.0,79.5,Balanced Strength + Cardio
male,18,20.43,moderate,8.5,4.9,182.7,68.2,Balanced Strength + Cardio
female,49,22.01,moderate,8.3,2.4,166.6,61.1,Balanced Strength + Cardio
female,52,23.89,moderate,6.1,2.5,155.8,58.0,Balanced Strength + Cardio
female,28,25.44,moderate,6.7,2.7,160.1,65.2,Balanced Strength + Cardio
female,29,26.52,active,8.3,2.6,175.2,81.4,Balanced Strength + Cardio
female,39,24.71,moderate,7.0,2.4,160.3,63.5,Balanced Strength + Cardio
female,45,25.98,moderate,6.1,2.2,162.5,68.6,Balanced Strength + Cardio
male,34,26.94,active,6.3,3.8,177.1,84.5,Balanced Strength + Cardio
male,41,19.18,moderate,7.2,2.9,173.9,58.0,Balanced Strength + Cardio
male,18,25.02,moderate,8.7,3.3,176.9,78.3,Balanced Strength + Cardio
female,18,24.36,moderate,8.7,3.0,169.4,69.9,Balanced Strength + Cardio
female,56,26.48,active,7.3,4.5,159.2,67.1,Balanced Strength + Cardio
female,29,21.42,moderate,6.8,2.8,149.7,48.0,Balanced Strength + Cardio
female,54,26.44,moderate,6.0,2.3,153.0,61.9,Balanced Strength + Cardio
female,32,26.34,active,8.1,4.6,162.2,69.3,Balanced Strength + Cardio
female,28,24.44,moderate,7.7,3.0,160.8,63.2,Balanced Strength + Cardio
female,18,23.97,active,6.9,2.3,171.0,70.1,Balanced Strength + Cardio
male,38,25.02,moderate,6.3,3.2,174.5,76.2,Balanced Strength + Cardio
female,32,25.18,moderate,6.6,2.8,163.0,66.9,Balanced Strength + Cardio
male,18,19.52,moderate,7.8,3.9,184.3,66.3,Balanced Strength + Cardio
male,35,25.57,active,7.6,3.2,179.5,82.4,Balanced Strength + Cardio
female,42,19.2,moderate,6.1,2.5,174.7,58.6,Balanced Strength + Cardio
male,38,26.26,active,7.6,2.5,169.8,75.7,Balanced Strength + Cardio
female,25,20.8,moderate,7.6,2.2,168.7,59.2,Balanced Strength + Cardio
male,18,22.19,moderate,8.4,4.5,157.3,54.9,Balanced Strength + Cardio
female,21,20.69,moderate,7.4,2.3,156.4,50.6,Balanced Strength + Cardio
male,40,24.05,moderate,7.7,3.0,177.3,75.6,Balanced Strength + Cardio
male,26,18.94,moderate,6.1,3.8,174.1,57.4,Balanced Strength + Cardio
female,49,24.57,moderate,6.5,2.4,157.7,61.1,Balanced Strength + Cardio
female,40,21.73,moderate,6.7,2.7,162.1,57.1,Balanced Strength + Cardio
female,25,18.53,moderate,7.6,2.5,160.8,47.9,Balanced Strength + Cardio
male,18,19.52,moderate,7.8,3.9,184.3,66.3,Balanced Strength + Cardio
male,31,26.06,active,7.5,2.8,166.0,71.8,Balanced Strength + Cardio
female,23,19.4,moderate,8.6,2.4,164.8,52.7,Balanced Strength + Cardio
female,31,20.89,moderate,8.0,2.8,159.6,53.2,Balanced Strength + Cardio
male,40,20.51,moderate,6.1,2.4,188.0,72.5,Balanced Strength + Cardio
female,22,20.67,moderate,8.4,1.8,168.8,58.9,Balanced Strength + Cardio
female,31,26.89,moderate,7.0,2.5,160.3,69.1,Balanced Strength + Cardio
male,38,24.75,moderate,6.7,3.3,169.5,71.1,Balanced Strength + Cardio
female,38,19.43,moderate,7.3,2.7,157.0,47.9,Balanced Strength + Cardio
male,30,25.15,moderate,7.0,3.8,181.1,82.5,Balanced Strength + Cardio
male,33,25.28,moderate,6.6,2.6,171.8,74.6,Balanced Strength + Cardio
male,34,19.65,moderate,6.9,2.9,174.0,59.5,Balanced Strength + Cardio
male,18,23.2,moderate,6.3,4.4,175.2,71.2,Balanced Strength + Cardio
female,46,24.79,moderate,7.7,2.2,151.5,56.9,Balanced Strength + Cardio
female,45,25.03,moderate,7.1,1.7,175.4,77.0,Balanced Strength + Cardio
female,40,25.92,moderate,6.9,2.6,153.4,61.0,Balanced Strength + Cardio
male,31,21.33,moderate,7.8,3.4,197.5,83.2,Balanced Strength + Cardio
male,35,26.42,moderate,7.0,2.9,175.3,81.2,Balanced Strength + Cardio
female,30,19.31,moderate,6.2,2.3,151.8,44.5,Balanced Strength + Cardio
female,31,26.39,moderate,7.8,2.5,156.7,64.8,Balanced Strength + Cardio
male,37,26.24,moderate,7.4,3.5,170.2,76.0,Balanced Strength + Cardio
female,26,21.42,moderate,7.1,3.3,165.1,58.4,Balanced Strength + Cardio
male,18,26.4,active,7.6,2.6,180.8,86.3,Balanced Strength + Cardio
female,18,20.07,moderate,8.4,3.5,154.8,48.1,Balanced Strength + Cardio
male,30,20.72,moderate,7.3,3.4,181.7,68.4,Balanced Strength + Cardio
female,31,20.89,moderate,8.0,2.8,159.6,53.2,Balanced Strength + Cardio
male,48,24.92,active,6.8,4.7,173.5,75.0,Balanced Strength + Cardio
female,53,19.35,moderate,6.7,1.6,169.5,55.6,Balanced Strength + Cardio
female,50,19.73,moderate,6.0,2.7,159.5,50.2,Balanced Strength + Cardio
female,24,25.97,moderate,8.1,3.1,152.0,60.0,Balanced Strength + Cardio
male,39,25.46,moderate,6.0,2.8,181.1,83.5,Balanced Strength + Cardio
male,18,24.45,moderate,8.1,2.5,181.0,80.1,Balanced Strength + Cardio
male,34,24.2,moderate,8.5,3.3,178.6,77.2,Balanced Strength + Cardio
male,37,19.5,moderate,9.0,3.7,186.6,67.9,Balanced Strength + Cardio
female,37,22.34,active,6.9,2.3,162.5,59.0,Balanced Strength + Cardio
male,38,25.81,active,7.8,3.5,176.4,80.3,Balanced Strength + Cardio
male,40,24.89,active,6.8,3.3,182.5,82.9,Balanced Strength + Cardio
female,19,26.79,moderate,7.9,3.0,159.2,67.9,Balanced Strength + Cardio
male,38,25.26,active,6.8,4.7,180.5,82.3,Balanced Strength + Cardio
male,51,22.06,active,6.7,3.1,184.0,74.7,Balanced Strength + Cardio
male,37,20.26,moderate,6.3,4.0,181.3,66.6,Balanced Strength + Cardio
male,38,20.12,moderate,6.3,4.1,161.7,52.6,Balanced Strength + Cardio
male,20,22.33,moderate,8.6,3.2,169.3,64.0,Balanced Strength + Cardio
female,45,20.73,active,6.9,3.3,157.3,51.3,Balanced Strength + Cardio
female,19,19.9,moderate,6.6,4.3,175.8,61.5,Balanced Strength + Cardio
female,20,24.97,moderate,6.4,2.8,176.4,77.7,Balanced Strength + Cardio
male,28,22.31,moderate,7.5,3.8,178.0,70.7,Balanced Strength + Cardio
male,52,21.08,moderate,6.7,4.1,175.6,65.0,Balanced Strength + Cardio
male,38,25.02,moderate,6.3,3.2,174.5,76.2,Balanced Strength + Cardio
female,28,21.21,active,6.2,2.9,177.2,66.6,Balanced Strength + Cardio
male,29,25.18,active,8.1,3.2,171.3,73.9,Balanced Strength + Cardio
female,25,21.89,active,6.6,3.0,155.0,52.6,Balanced Strength + Cardio
female,45,25.98,moderate,6.1,2.2,162.5,68.6,Balanced Strength + Cardio
female,18,21.84,moderate,7.7,3.0,145.3,46.1,Balanced Strength + Cardio
male,21,26.38,moderate,9.1,4.1,177.6,83.2,Balanced Strength + Cardio
female,41,19.06,active,6.9,3.3,170.2,55.2,Balanced Strength + Cardio
female,31,23.56,moderate,7.5,3.7,163.9,63.3,Balanced Strength + Cardio
male,18,26.4,active,8.4,4.0,175.6,81.4,Balanced Strength + Cardio
male,42,23.66,active,6.4,3.4,166.0,65.2,Balanced Strength + Cardio
female,22,20.67,moderate,8.4,1.8,168.8,58.9,Balanced Strength + Cardio
female,25,20.09,moderate,7.5,3.2,165.0,54.7,Balanced Strength + Cardio
male,21,23.52,moderate,8.2,3.4,176.4,73.2,Balanced Strength + Cardio
female,23,19.4,moderate,8.6,2.4,164.8,52.7,Balanced Strength + Cardio
female,38,23.23,moderate,7.1,3.0,165.2,63.4,Balanced Strength + Cardio
female,29,24.48,moderate,8.7,2.6,149.9,55.0,Balanced Strength + Cardio
female,40,25.92,moderate,6.9,2.6,153.4,61.0,Balanced Strength + Cardio
female,29,19.61,moderate,7.1,2.6,165.0,53.4,Balanced Strength + Cardio
male,30,20.72,moderate,7.3,3.4,181.7,68.4,Balanced Strength + Cardio
male,27,25.17,active,10.0,3.3,180.6,82.1,Balanced Strength + Cardio
female,42,26.0,moderate,6.2,2.4,164.8,70.6,Balanced Strength + Cardio
male,51,23.43,moderate,6.4,3.9,176.4,72.9,Balanced Strength + Cardio
female,52,22.15,moderate,6.2,2.2,155.4,53.5,Balanced Strength + Cardio
female,18,21.98,moderate,9.0,2.3,148.1,48.2,Balanced Strength + Cardio
male,18,25.28,moderate,7.9,2.7,173.6,76.2,Balanced Strength + Cardio
female,37,22.34,active,6.9,2.3,162.5,59.0,Balanced Strength + Cardio
male,30,20.72,moderate,7.3,3.4,181.7,68.4,Balanced Strength + Cardio
male,18,22.19,moderate,8.4,4.5,157.3,54.9,Balanced Strength + Cardio
male,42,23.2,moderate,7.9,3.7,178.6,74.0,Balanced Strength + Cardio
male,29,26.6,active,7.4,3.4,174.5,81.0,Balanced Strength + Cardio
male,31,22.49,moderate,7.1,4.1,167.1,62.8,Balanced Strength + Cardio
male,18,21.46,moderate,7.2,3.2,178.0,68.0,Balanced Strength + Cardio
male,48,22.22,active,6.3,2.7,169.2,63.6,Balanced Strength + Cardio
male,18,23.45,moderate,9.8,2.9,171.4,68.9,Balanced Strength + Cardio
male,30,25.15,moderate,7.0,3.8,181.1,82.5,Balanced Strength + Cardio
male,28,19.64,moderate,7.3,3.4,168.1,55.5,Balanced Strength + Cardio
male,18,26.81,moderate,6.3,3.6,179.0,85.9,Balanced Strength + Cardio
female,30,25.37,moderate,7.4,2.2,163.1,67.5,Balanced Strength + Cardio
male,26,26.07,moderate,8.5,3.4,185.5,89.7,Balanced Strength + Cardio
male,21,24.36,moderate,8.2,2.9,175.1,74.7,Balanced Strength + Cardio
female,30,25.68,moderate,7.2,2.7,151.7,59.1,Balanced Strength + Cardio
female,28,23.63,moderate,6.9,2.7,160.8,61.1,Balanced Strength + Cardio
male,38,25.81,active,7.8,3.5,176.4,80.3,Balanced Strength + Cardio
male,48,26.78,active,8.4,4.1,168.8,76.3,Balanced Strength + Cardio
female,34,23.88,moderate,8.1,2.0,162.8,63.3,Balanced Strength + Cardio
male,26,26.07,moderate,8.5,3.4,185.5,89.7,Balanced Strength + Cardio
male,48,24.92,active,6.8,4.7,173.5,75.0,Balanced Strength + Cardio
female,45,25.89,moderate,8.2,2.4,170.3,75.1,Balanced Strength + Cardio
male,34,26.94,active,6.3,3.8,177.1,84.5,Balanced Strength + Cardio
male,21,23.01,moderate,7.9,3.3,166.9,64.1,Balanced Strength + Cardio
female,29,25.5,moderate,8.9,3.5,153.4,60.0,Balanced Strength + Cardio
female,18,24.36,moderate,8.7,3.0,169.4,69.9,Balanced Strength + Cardio
male,43,26.81,active,6.1,3.9,182.4,89.2,Balanced Strength + Cardio
female,22,23.73,moderate,7.5,2.7,155.4,57.3,Balanced Strength + Cardio
male,25,20.54,moderate,6.5,3.8,170.9,60.0,Balanced Strength + Cardio
male,18,22.54,moderate,8.1,4.3,178.6,71.9,Balanced Strength + Cardio
male,30,20.72,moderate,7.3,3.4,181.7,68.4,Balanced Strength + Cardio
male,35,25.57,active,7.6,3.2,179.5,82.4,Balanced Strength + Cardio
male,46,25.56,moderate,6.8,3.5,176.8,79.9,Balanced Strength + Cardio
female,18,26.57,moderate,9.0,2.8,163.7,71.2,Balanced Strength + Cardio
male,37,26.28,moderate,6.6,4.0,194.2,99.1,Balanced Strength + Cardio
female,31,23.56,moderate,7.5,3.7,163.9,63.3,Balanced Strength + Cardio
female,18,24.36,moderate,8.7,3.0,169.4,69.9,Balanced Strength + Cardio
female,43,25.56,moderate,6.2,3.7,173.1,76.6,Balanced Strength + Cardio
female,27,25.96,moderate,7.0,2.2,157.5,64.4,Balanced Strength + Cardio
female,38,23.23,moderate,7.1,3.0,165.2,63.4,Balanced Strength + Cardio
female,28,23.73,moderate,6.0,3.1,165.5,65.0,Balanced Strength + Cardio
male,27,26.36,active,9.4,3.5,178.4,83.9,Balanced Strength + Cardio
female,41,19.06,active,6.9,3.3,170.2,55.2,Balanced Strength + Cardio
female,51,21.32,moderate,6.5,3.2,157.8,53.1,Balanced Strength + Cardio
female,18,23.97,active,6.9,2.3,171.0,70.1,Balanced Strength + Cardio
female,25,25.72,moderate,7.6,2.5,172.9,76.9,Balanced Strength + Cardio
female,26,24.87,moderate,8.8,2.9,157.9,62.0,Balanced Strength + Cardio
male,35,24.2,active,6.8,3.8,167.0,67.5,Balanced Strength + Cardio
male,25,23.96,moderate,8.8,3.5,171.9,70.8,Balanced Strength + Cardio
male,46,25.56,moderate,6.8,3.5,176.8,79.9,Balanced Strength + Cardio
female,24,26.86,moderate,9.2,2.7,174.2,81.5,Balanced Strength + Cardio
male,20,25.68,active,8.0,3.5,155.0,61.7,Balanced Strength + Cardio
male,51,22.06,active,6.7,3.1,184.0,74.7,Balanced Strength + Cardio
male,35,19.77,moderate,9.2,2.9,166.2,54.6,Balanced Strength + Cardio
male,35,24.04,active,6.7,2.8,174.5,73.2,Balanced Strength + Cardio
female,18,23.26,moderate,8.1,3.4,165.6,63.8,Balanced Strength + Cardio
female,18,24.71,moderate,9.4,2.3,170.0,71.4,Balanced Strength + Cardio
male,18,23.45,moderate,9.8,2.9,171.4,68.9,Balanced Strength + Cardio
male,51,23.43,moderate,6.4,3.9,176.4,72.9,Balanced Strength + Cardio
female,45,25.03,moderate,7.1,1.7,175.4,77.0,Balanced Strength + Cardio
female,28,23.73,moderate,6.0,3.1,165.5,65.0,Balanced Strength + Cardio
female,50,18.55,active,6.8,2.9,156.8,45.6,Balanced Strength + Cardio
male,34,22.79,moderate,7.0,3.4,176.5,71.0,Balanced Strength + Cardio
male,35,24.2,active,6.8,3.8,167.0,67.5,Balanced Strength + Cardio
female,38,24.66,active,6.5,4.7,162.1,64.8,Balanced Strength + Cardio
female,42,26.0,moderate,6.2,2.4,164.8,70.6,Balanced Strength + Cardio
male,39,25.46,moderate,6.0,2.8,181.1,83.5,Balanced Strength + Cardio
female,21,19.6,moderate,8.2,1.7,163.8,52.6,Balanced Strength + Cardio
male,35,22.85,moderate,7.8,2.7,173.4,68.7,Balanced Strength + Cardio
male,53,20.47,moderate,7.0,3.6,175.3,62.9,Balanced Strength + Cardio
male,34,22.79,moderate,7.0,3.4,176.5,71.0,Balanced Strength + Cardio
male,28,22.31,moderate,7.5,3.8,178.0,70.7,Balanced Strength + Cardio
male,34,22.79,moderate,7.0,3.4,176.5,71.0,Balanced Strength + Cardio
female,31,20.92,active,6.6,3.2,170.2,60.6,Balanced Strength + Cardio
male,35,26.42,moderate,7.0,2.9,175.3,81.2,Balanced Strength + Cardio
male,28,19.64,moderate,7.3,3.4,168.1,55.5,Balanced Strength + Cardio
male,34,22.79,moderate,7.0,3.4,176.5,71.0,Balanced Strength + Cardio
male,22,24.44,moderate,8.4,3.0,176.0,75.7,Balanced Strength + Cardio
male,22,26.43,active,7.9,4.6,163.8,70.9,Balanced Strength + Cardio
male,27,24.25,moderate,6.4,4.9,176.8,75.8,Balanced Strength + Cardio
male,38,23.74,active,6.3,4.2,183.0,79.5,Balanced Strength + Cardio
male,18,26.9,moderate,8.7,3.5,165.2,73.4,Balanced Strength + Cardio
male,18,25.28,moderate,7.9,2.7,173.6,76.2,Balanced Strength + Cardio
female,45,22.54,moderate,6.2,2.9,166.8,62.7,Balanced Strength + Cardio
male,46,25.56,moderate,6.8,3.5,176.8,79.9,Balanced Strength + Cardio
female,18,26.57,moderate,9.0,2.8,163.7,71.2,Balanced Strength + Cardio
female,22,22.8,moderate,7.6,3.9,164.5,61.7,Balanced Strength + Cardio
male,36,21.34,moderate,6.4,2.9,158.5,53.6,Balanced Strength + Cardio
male,22,26.43,active,7.9,4.6,163.8,70.9,Balanced Strength + Cardio
male,26,18.94,moderate,6.1,3.8,174.1,57.4,Balanced Strength + Cardio
male,51,22.06,active,6.7,3.1,184.0,74.7,Balanced Strength + Cardio
female,45,25.98,moderate,6.1,2.2,162.5,68.6,Balanced Strength + Cardio
male,18,23.45,moderate,9.8,2.9,171.4,68.9,Balanced Strength + Cardio
female,51,21.32,moderate,6.5,3.2,157.8,53.1,Balanced Strength + Cardio
male,46,21.67,moderate,8.1,3.5,178.3,68.9,Balanced Strength + Cardio
male,22,20.96,moderate,7.8,2.8,178.8,67.0,Balanced Strength + Cardio
female,36,26.74,moderate,6.3,2.9,145.5,56.6,Balanced Strength + Cardio
male,18,24.92,moderate,7.3,3.9,183.7,84.1,Balanced Strength + Cardio
female,23,22.11,moderate,7.2,3.1,161.4,57.6,Balanced Strength + Cardio
female,37,24.84,moderate,8.6,3.0,159.5,63.2,Balanced Strength + Cardio
male,40,25.48,active,8.5,2.7,179.4,82.0,Balanced Strength + Cardio
female,20,19.56,moderate,6.9,1.4,158.6,49.2,Balanced Strength + Cardio
female,18,21.84,moderate,7.7,3.0,145.3,46.1,Balanced Strength + Cardio
female,24,25.34,moderate,6.8,3.1,157.3,62.7,Balanced Strength + Cardio
female,49,24.57,moderate,6.5,2.4,157.7,61.1,Balanced Strength + Cardio
male,30,26.29,active,9.5,4.7,172.9,78.6,Balanced Strength + Cardio
female,47,18.66,moderate,6.3,3.0,162.2,49.1,Balanced Strength + Cardio
female,31,23.31,moderate,7.5,2.3,159.5,59.3,Balanced Strength + Cardio
female,51,21.32,moderate,6.5,3.2,157.8,53.1,Balanced Strength + Cardio
male,30,26.37,moderate,7.7,3.6,187.1,92.3,Balanced Strength + Cardio
female,36,24.57,moderate,6.3,3.0,169.4,70.5,Balanced Strength + Cardio
male,34,23.19,active,6.1,3.6,170.6,67.5,Balanced Strength + Cardio
female,35,25.32,moderate,8.7,2.9,180.5,82.5,Balanced Strength + Cardio
male,35,26.63,moderate,7.2,2.7,179.3,85.6,Balanced Strength + Cardio
female,50,19.73,moderate,6.0,2.7,159.5,50.2,Balanced Strength + Cardio
female,38,22.93,moderate,6.2,1.9,162.3,60.4,Balanced Strength + Cardio
male,28,19.64,moderate,7.3,3.4,168.1,55.5,Balanced Strength + Cardio
male,22,24.36,moderate,6.9,3.4,180.2,79.1,Balanced Strength + Cardio
female,24,23.37,moderate,8.7,3.7,181.5,77.0,Balanced Strength + Cardio
female,23,23.51,moderate,7.3,3.0,157.2,58.1,Balanced Strength + Cardio
male,27,26.36,active,9.4,3.5,178.4,83.9,Balanced Strength + Cardio
male,34,20.92,moderate,6.3,3.0,173.8,63.2,Balanced Strength + Cardio
male,18,19.52,moderate,7.8,3.9,184.3,66.3,Balanced Strength + Cardio
male,40,20.28,moderate,7.9,3.2,166.6,56.3,Balanced Strength + Cardio
female,39,22.55,moderate,9.3,2.8,169.4,64.7,Balanced Strength + Cardio
female,22,22.8,moderate,7.6,3.9,164.5,61.7,Balanced Strength + Cardio
female,25,20.09,moderate,7.5,3.2,165.0,54.7,Balanced Strength + Cardio
female,57,24.48,active,6.4,4.0,168.5,69.5,Balanced Strength + Cardio
female,43,22.89,moderate,6.2,3.0,158.5,57.5,Balanced Strength + Cardio
male,34,20.92,moderate,6.3,3.0,173.8,63.2,Balanced Strength + Cardio
female,29,19.61,moderate,7.1,2.6,165.0,53.4,Balanced Strength + Cardio
male,21,24.58,moderate,9.5,3.2,176.3,76.4,Balanced Strength + Cardio
male,32,22.79,moderate,7.6,3.7,149.6,51.0,Balanced Strength + Cardio
male,25,26.11,moderate,7.2,2.3,167.2,73.0,Balanced Strength + Cardio
male,19,24.82,moderate,6.9,4.1,166.6,68.9,Balanced Strength + Cardio
female,39,22.54,moderate,6.4,2.5,156.2,55.0,Balanced Strength + Cardio
female,22,23.73,moderate,7.5,2.7,155.4,57.3,Balanced Strength + Cardio
female,26,20.54,moderate,6.8,2.6,158.5,51.6,Balanced Strength + Cardio
female,21,20.69,moderate,7.4,2.3,156.4,50.6,Balanced Strength + Cardio
male,37,20.26,moderate,6.3,4.0,181.3,66.6,Balanced Strength + Cardio
male,18,23.2,moderate,6.3,4.4,175.2,71.2,Balanced Strength + Cardio
male,33,20.32,moderate,7.2,4.0,171.7,59.9,Balanced Strength + Cardio
female,18,25.71,active,7.5,3.2,167.7,72.3,Balanced Strength + Cardio
male,48,26.78,active,8.4,4.1,168.8,76.3,Balanced Strength + Cardio
male,18,22.54,moderate,8.1,4.3,178.6,71.9,Balanced Strength + Cardio
female,34,26.89,moderate,6.7,2.2,158.8,67.8,Balanced Strength + Cardio
male,49,22.17,moderate,6.3,3.5,171.9,65.5,Balanced Strength + Cardio
